4, 21
9, 15
12, 21
13, 21
14, 33
17, 22
18, 37
22, 20
24, 21
25, 20
27, 22
29, 20
30, 19
31, 33
33, 22
34, 34
35, 19
37, 19
38, 0
39, 21
41, 33
42, 19
44, 18
45, 22
46, 25
48, 36
55, 22
58, 22
62, 0
63, 18
64, 22
65, 18
66, 18
67, 22
68, 21
69, 20
70, 19
71, 20
72, 22
73, 5
75, 20
76, 18
81, 22
82, 5
83, 20
84, 19
86, 18
87, 11
88, 34
90, 21
92, 30
93, 29
94, 22
95, 8
98, 38
99, 19
101, 22
102, 20
103, 22
104, 22
105, 8
108, 19
109, 21
110, 5
111, 35
112, 19
115, 32
117, 22
118, 18
121, 19
122, 20
123, 25
127, 21
128, 22
129, 23
