0, 18
1, 2
2, 20
3, 20
5, 22
8, 19
16, 22
20, 21
21, 20
23, 21
24, 20
25, 18
26, 39
32, 35
33, 22
34, 12
36, 19
38, 21
41, 10
43, 18
44, 22
47, 22
48, 20
49, 19
50, 11
52, 18
54, 36
55, 28
56, 39
58, 22
60, 18
62, 18
64, 7
65, 1
66, 37
68, 22
69, 14
70, 20
71, 38
74, 20
75, 18
78, 21
79, 14
80, 22
82, 24
86, 19
88, 20
89, 28
90, 3
91, 21
93, 37
95, 18
96, 21
97, 38
98, 20
99, 28
101, 20
103, 22
104, 19
105, 21
106, 25
107, 19
108, 29
109, 5
110, 35
111, 19
112, 40
113, 20
114, 32
116, 22
117, 18
121, 20
122, 25
123, 18
124, 18
125, 18
126, 21
127, 39
128, 20
129, 18
